Week of Allocations,1st Dose Allocations,2nd Dose Allocations,Jurisdiction
04/05/2021,"25,740","25,740",West Virginia
04/05/2021,"66,690","66,690",Alabama
04/05/2021,"286,650","286,650",Florida
04/05/2021,"136,890","136,890",Georgia
04/05/2021,"60,840","60,840",Kentucky
04/05/2021,"39,780","39,780",Mississippi
04/05/2021,"138,060","138,060",North Carolina
04/05/2021,"67,860","67,860",South Carolina
04/05/2021,"90,090","90,090",Tennessee
04/05/2021,"37,440","37,440",Chicago
04/05/2021,"136,890","136,890",Illinois
04/05/2021,"88,920","88,920",Indiana
04/05/2021,"135,720","135,720",Michigan
04/05/2021,"74,880","74,880",Minnesota
04/05/2021,"157,950","157,950",Ohio
04/05/2021,"79,560","79,560",Wisconsin
04/05/2021,"39,780","39,780",Arkansas
04/05/2021,"62,010","62,010",Louisiana
04/05/2021,"29,250","29,250",New Mexico
04/05/2021,"52,650","52,650",Oklahoma
04/05/2021,"359,190","359,190",Texas
04/05/2021,"42,120","42,120",Iowa
04/05/2021,"38,610","38,610",Kansas
04/05/2021,"83,070","83,070",Missouri
04/05/2021,"25,740","25,740",Nebraska
04/05/2021,"74,880","74,880",Colorado
04/05/2021,"15,210","15,210",Montana
04/05/2021,"10,530","10,530",North Dakota
04/05/2021,"11,700","11,700",South Dakota
04/05/2021,"37,440","37,440",Utah
04/05/2021,"8,190","8,190",Wyoming
04/05/2021,"93,600","93,600",Arizona
04/05/2021,"524,160","524,160",California
04/05/2021,"19,890","19,890",Hawaii
04/05/2021,"39,780","39,780",Nevada
04/05/2021,0,0,American Samoa
04/05/2021,0,0,Guam
04/05/2021,0,0,Marshall Islands
04/05/2021,0,0,Micronesia
04/05/2021,0,0,Mariana Islands
04/05/2021,0,0,Palau
04/05/2021,0,0,Alaska
04/05/2021,"22,230","22,230",Idaho
04/05/2021,"57,330","57,330",Oregon
04/05/2021,"100,620","100,620",Washington
04/05/2021,"243,360","243,360",Federal Entities
03/29/2021,"60,840","60,840",Connecticut
03/29/2021,"23,400","23,400",Maine
